manage_no,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude
보라매01-09,서울 관악구 신림동 1677-5,서울,관악구,1677,5.0,37.593994,126.801866
보라매01-10,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-11,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-12,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-13,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-14,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-15,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-16,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-17,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-18,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-19,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매01-20,서울 관악구 신림동 1677-5,서울,관악구,1677,5.0,37.593994,126.801866
보라매02-01,서울 관악구 신림동 1677-4,서울,관악구,1677,4.0,37.593994,126.801866
보라매02-02,서울 관악구 신림동 1677-3,서울,관악구,1677,3.0,37.593994,126.801866
보라매02-03,서울 관악구 신림동 1677-3,서울,관악구,1677,3.0,37.593994,126.801866
보라매02-04,서울 관악구 신림동 1677-3,서울,관악구,1677,3.0,37.593994,126.801866
보라매02-05,서울 관악구 신림동 1677-3,서울,관악구,1677,3.0,37.593994,126.801866
보라매02-06,서울 관악구 신림동 1677-3,서울,관악구,1677,3.0,37.593994,126.801866
보라매02-07,서울 관악구 신림동 1677-2,서울,관악구,1677,2.0,37.593994,126.801866
보라매02-08,서울 관악구 신림동 1677,서울,관악구,1677,,37.593994,126.801866
보라매02-09,서울 관악구 신림동 1677,서울,관악구,1677,,37.593994,126.801866
보라매02-10,서울 관악구 신림동 1677,서울,관악구,1677,,37.593994,126.801866
보라매02-11,서울 관악구 신림동 1677,서울,관악구,1677,,37.593994,126.801866
보라매02-12,서울 관악구 신림동 551,서울,관악구,551,,37.593994,126.801866
보라매02-13,서울 관악구 신림동 551,서울,관악구,551,,37.593994,126.801866
보라매02-14,서울 관악구 신림동 551,서울,관악구,551,,37.593994,126.801866
보라매02-15,서울 관악구 신림동 518,서울,관악구,518,,37.593994,126.801866
보라매02-16,서울 관악구 신림동 518,서울,관악구,518,,37.593994,126.801866
보라매02-17,서울 관악구 신림동 518,서울,관악구,518,,37.593994,126.801866
보라매02-18,서울 관악구 신림동 518,서울,관악구,518,,37.593994,126.801866
보라매02-19,서울 관악구 신림동 534,서울,관악구,534,,37.593994,126.801866
보라매02-20,서울 관악구 신림동 518,서울,관악구,518,,37.593994,126.801866
보라매02-21,서울 관악구 신림동 518,서울,관악구,518,,37.593994,126.801866
보라매02-22,서울 관악구 신림동 518,서울,관악구,518,,37.593994,126.801866
보라매02-23,서울 관악구 신림동 518,서울,관악구,518,,37.593994,126.801866
보라매02-24,서울 관악구 신림동 518,서울,관악구,518,,37.593994,126.801866
보라매02-25,서울 관악구 신림동 516,서울,관악구,516,,37.593994,126.801866
보라매02-26,서울 관악구 신림동 516,서울,관악구,516,,37.593994,126.801866
보라매02-27,서울 관악구 신림동 499,서울,관악구,499,,37.593994,126.801866
보라매02-28,서울 관악구 신림동 499,서울,관악구,499,,37.593994,126.801866
보라매02-29,서울 관악구 신림동 499,서울,관악구,499,,37.593994,126.801866
보라매02-30,서울 관악구 신림동 499,서울,관악구,499,,37.593994,126.801866
보라매02-31,서울 관악구 신림동 499,서울,관악구,499,,37.593994,126.801866
보라매02-32,서울 관악구 신림동 499,서울,관악구,499,,37.593994,126.801866
보라매02-33,서울 관악구 신림동 499,서울,관악구,499,,37.593994,126.801866
보라매02-34,서울 관악구 신림동 499,서울,관악구,499,,37.593994,126.801866
